date,portfolio_value,n_holdings
2005-01-03 14:30:00,97941.23723485947,10
2005-01-04 14:30:00,97858.99606166565,9
2005-01-05 14:30:00,98939.94998006526,8
2005-01-06 14:30:00,99650.46277063218,8
2005-01-07 14:30:00,101160.26448072924,8
2005-01-10 14:30:00,101091.0304040113,8
2005-01-11 14:30:00,101273.97958647805,10
2005-01-12 14:30:00,101526.49223657584,10
2005-01-13 14:30:00,102924.27218607483,10
2005-01-14 14:30:00,103044.01783786915,10
2005-01-18 14:30:00,101459.93564496835,9
2005-01-19 14:30:00,100350.61504469582,9
2005-01-20 14:30:00,99047.73303133233,10
2005-01-21 14:30:00,96505.19197495609,10
2005-01-24 14:30:00,97175.6465143613,9
2005-01-25 14:30:00,98561.60907470038,8
2005-01-26 14:30:00,100621.83940135586,8
2005-01-27 14:30:00,99470.66478665802,8
2005-01-28 14:30:00,101529.47852810248,10
2005-01-31 14:30:00,102625.37255820185,10
2005-02-01 14:30:00,103263.19960717302,10
2005-02-02 14:30:00,103632.93648172687,10
2005-02-03 14:30:00,105826.95934179054,10
2005-02-04 14:30:00,104384.22194280864,10
2005-02-07 14:30:00,104520.27258353437,10
2005-02-08 14:30:00,105267.78485548405,9
2005-02-09 14:30:00,105928.13314632176,8
2005-02-10 14:30:00,106904.45348011979,7
2005-02-11 14:30:00,107489.23949483276,7
2005-02-14 14:30:00,107304.03935885533,7
2005-02-15 14:30:00,108364.48662962194,10
2005-02-16 14:30:00,107751.33046914272,9
2005-02-17 14:30:00,108058.46981773285,9
2005-02-18 14:30:00,105831.90842375037,9
2005-02-22 14:30:00,106585.13903299291,9
2005-02-23 14:30:00,107965.98890725292,9
2005-02-24 14:30:00,109443.9905779129,10
2005-02-25 14:30:00,109768.98510158174,10
2005-02-28 14:30:00,111417.25892139012,10
2005-03-01 14:30:00,112010.20219625955,10
2005-03-02 14:30:00,111956.76783352024,10
2005-03-03 14:30:00,113027.38288793038,10
2005-03-04 14:30:00,112913.63550125156,10
2005-03-07 14:30:00,111276.36359891389,7
2005-03-08 14:30:00,110363.15094525051,7
2005-03-09 14:30:00,109465.10344218576,7
2005-03-10 14:30:00,108335.27166997148,4
