date,portfolio_value,n_holdings,exposure_mult,regime
2023-01-03 14:30:00,105829.8540905507,10,1.0,disabled
2023-01-04 14:30:00,103000.99105879372,10,1.0,disabled
2023-01-05 14:30:00,104110.96830626833,10,1.0,disabled
2023-01-06 14:30:00,108629.25588437027,10,1.0,disabled
2023-01-09 14:30:00,113269.04541367038,10,1.0,disabled
2023-01-10 14:30:00,114796.06253220097,10,1.0,disabled
2023-01-11 14:30:00,115603.1571062226,10,1.0,disabled
2023-01-12 14:30:00,115329.4880098153,10,1.0,disabled
2023-01-13 14:30:00,116011.90692922178,10,1.0,disabled
2023-01-17 14:30:00,113713.0087643601,10,1.0,disabled
2023-01-18 14:30:00,114110.32748848037,10,1.0,disabled
2023-01-19 14:30:00,116157.5658511828,10,1.0,disabled
2023-01-20 14:30:00,116937.29825509427,10,1.0,disabled
2023-01-23 14:30:00,116852.82965097114,10,1.0,disabled
2023-01-24 14:30:00,116730.0458999955,10,1.0,disabled
2023-01-25 14:30:00,117823.75640740957,10,1.0,disabled
2023-01-26 14:30:00,117765.3683542201,10,1.0,disabled
2023-01-27 14:30:00,116412.64487374837,10,1.0,disabled
2023-01-30 14:30:00,118689.47924211006,10,1.0,disabled
2023-01-31 14:30:00,120971.61928565543,10,1.0,disabled
2023-02-01 14:30:00,121107.61389818549,9,1.0,disabled
2023-02-02 14:30:00,117529.0254731805,9,1.0,disabled
2023-02-03 14:30:00,116387.72260776076,9,1.0,disabled
2023-02-06 14:30:00,118576.84921123205,9,1.0,disabled
2023-02-07 14:30:00,117333.58971104863,10,1.0,disabled
2023-02-08 14:30:00,116194.44110514598,10,1.0,disabled
2023-02-09 14:30:00,116276.5564093118,9,1.0,disabled
2023-02-10 14:30:00,117380.87957444969,9,1.0,disabled
2023-02-13 14:30:00,117639.50426170773,9,1.0,disabled
2023-02-14 14:30:00,118406.27817680922,9,1.0,disabled
2023-02-15 14:30:00,117842.22908028887,10,1.0,disabled
2023-02-16 14:30:00,115793.01379057439,10,1.0,disabled
2023-02-17 14:30:00,113816.16823224211,9,1.0,disabled
2023-02-21 14:30:00,113155.13372878179,9,1.0,disabled
2023-02-22 14:30:00,113701.02523612003,9,1.0,disabled
2023-02-23 14:30:00,112858.35824751413,9,1.0,disabled
2023-02-24 14:30:00,113596.27694395486,10,1.0,disabled
2023-02-27 14:30:00,115313.03245184319,10,1.0,disabled
2023-02-28 14:30:00,115846.16370089308,10,1.0,disabled
2023-03-01 14:30:00,115909.46445541068,10,1.0,disabled
2023-03-02 14:30:00,119069.6161390501,10,1.0,disabled
2023-03-03 14:30:00,117516.27339895096,10,1.0,disabled
2023-03-06 14:30:00,115993.27130160113,10,1.0,disabled
2023-03-07 14:30:00,116223.04396878358,10,1.0,disabled
2023-03-08 14:30:00,112236.1554115066,10,1.0,disabled
2023-03-09 14:30:00,109321.4073389106,10,1.0,disabled
2023-03-10 14:30:00,110746.9442458476,8,1.0,disabled
2023-03-13 13:30:00,112139.88438516881,8,1.0,disabled
2023-03-14 13:30:00,109524.53684448484,10,1.0,disabled
2023-03-15 13:30:00,111386.0947583436,9,1.0,disabled
2023-03-16 13:30:00,110267.66854647998,9,1.0,disabled
2023-03-17 13:30:00,111385.55155809128,8,1.0,disabled
2023-03-20 13:30:00,115979.77743842706,8,1.0,disabled
2023-03-21 13:30:00,113964.26482935526,8,1.0,disabled
2023-03-22 13:30:00,113020.74755593122,10,1.0,disabled
2023-03-23 13:30:00,113864.65561196122,10,1.0,disabled
2023-03-24 13:30:00,114534.37540917976,10,1.0,disabled
2023-03-27 13:30:00,114208.40673343615,10,1.0,disabled
2023-03-28 13:30:00,116621.24006223488,10,1.0,disabled
2023-03-29 13:30:00,115878.79985962632,10,1.0,disabled
2023-03-30 13:30:00,119056.42962132744,10,1.0,disabled
2023-03-31 13:30:00,119804.53594380639,10,1.0,disabled
2023-04-03 13:30:00,118212.30882297846,9,1.0,disabled
2023-04-04 13:30:00,116202.03827121378,9,1.0,disabled
2023-04-05 13:30:00,116759.6157965659,9,1.0,disabled
2023-04-06 13:30:00,119188.89041701595,9,1.0,disabled
2023-04-10 13:30:00,120492.50362651859,10,1.0,disabled
2023-04-11 13:30:00,118566.91354841749,10,1.0,disabled
2023-04-12 13:30:00,120225.96298721238,10,1.0,disabled
2023-04-13 13:30:00,119938.44567779763,10,1.0,disabled
2023-04-14 13:30:00,124203.60590979543,10,1.0,disabled
2023-04-17 13:30:00,124429.69068957116,10,1.0,disabled
2023-04-18 13:30:00,124351.87768431818,10,1.0,disabled
2023-04-19 13:30:00,120975.67708825198,10,1.0,disabled
2023-04-20 13:30:00,118554.52546712344,10,1.0,disabled
2023-04-21 13:30:00,117087.48621008969,10,1.0,disabled
2023-04-24 13:30:00,114227.82728637861,9,1.0,disabled
2023-04-25 13:30:00,113377.72796749137,8,1.0,disabled
2023-04-26 13:30:00,116450.05458808673,10,1.0,disabled
2023-04-27 13:30:00,115505.54222215821,10,1.0,disabled
2023-04-28 13:30:00,113761.607415886,9,1.0,disabled
2023-05-01 13:30:00,112202.54557625223,9,1.0,disabled
2023-05-02 13:30:00,110994.01486124462,7,1.0,disabled
2023-05-03 13:30:00,115028.39466873546,7,1.0,disabled
2023-05-04 13:30:00,120260.86256588978,10,1.0,disabled
2023-05-05 13:30:00,122555.46354379042,10,1.0,disabled
2023-05-08 13:30:00,123522.70523826766,10,1.0,disabled
2023-05-09 13:30:00,124303.32900836658,10,1.0,disabled
2023-05-10 13:30:00,122592.14215893915,10,1.0,disabled
2023-05-11 13:30:00,120610.59487889227,10,1.0,disabled
2023-05-12 13:30:00,122562.4691225243,10,1.0,disabled
2023-05-15 13:30:00,120525.46291227134,10,1.0,disabled
2023-05-16 13:30:00,125138.81407547322,10,1.0,disabled
2023-05-17 13:30:00,126439.22313261955,10,1.0,disabled
2023-05-18 13:30:00,125792.00353389779,10,1.0,disabled
2023-05-19 13:30:00,128917.09472997287,10,1.0,disabled
2023-05-22 13:30:00,127012.47789067563,10,1.0,disabled
2023-05-23 13:30:00,125803.7187482174,10,1.0,disabled
2023-05-24 13:30:00,125325.5831176089,10,1.0,disabled
2023-05-25 13:30:00,126579.65147162575,9,1.0,disabled
2023-05-26 13:30:00,126960.02733573993,9,1.0,disabled
2023-05-30 13:30:00,126488.98484666205,9,1.0,disabled
2023-05-31 13:30:00,128043.23846789233,10,1.0,disabled
2023-06-01 13:30:00,132171.67056047317,10,1.0,disabled
2023-06-02 13:30:00,131987.43531571812,10,1.0,disabled
2023-06-05 13:30:00,134963.28929031442,10,1.0,disabled
2023-06-06 13:30:00,135481.05222262943,10,1.0,disabled
2023-06-07 13:30:00,135707.25503914664,10,1.0,disabled
2023-06-08 13:30:00,135445.92941678446,10,1.0,disabled
2023-06-09 13:30:00,137404.5581606578,10,1.0,disabled
2023-06-12 13:30:00,138290.68729709895,10,1.0,disabled
2023-06-13 13:30:00,138210.34783309218,10,1.0,disabled
2023-06-14 13:30:00,140206.92969185888,10,1.0,disabled
2023-06-15 13:30:00,139614.25539559853,10,1.0,disabled
2023-06-16 13:30:00,138265.2216480652,10,1.0,disabled
2023-06-20 13:30:00,137177.02091287347,10,1.0,disabled
2023-06-21 13:30:00,136745.56252796095,10,1.0,disabled
2023-06-22 13:30:00,135507.97445582258,10,1.0,disabled
2023-06-23 13:30:00,136102.29467116768,9,1.0,disabled
2023-06-26 13:30:00,137290.35136171881,9,1.0,disabled
2023-06-27 13:30:00,137574.74260398935,10,1.0,disabled
2023-06-28 13:30:00,137832.0506174964,9,1.0,disabled
2023-06-29 13:30:00,139269.59292107908,9,1.0,disabled
2023-06-30 13:30:00,141528.6226214729,9,1.0,disabled
2023-07-03 13:30:00,142090.18316647387,9,1.0,disabled
2023-07-05 13:30:00,141375.17963740006,9,1.0,disabled
2023-07-06 13:30:00,143472.52718855866,10,1.0,disabled
2023-07-07 13:30:00,146589.08417878847,10,1.0,disabled
2023-07-10 13:30:00,148591.07383340577,10,1.0,disabled
2023-07-11 13:30:00,151593.54827201331,10,1.0,disabled
2023-07-12 13:30:00,153866.63471720117,10,1.0,disabled
2023-07-13 13:30:00,151438.32828271098,10,1.0,disabled
2023-07-14 13:30:00,151571.32707147548,10,1.0,disabled
2023-07-17 13:30:00,154714.2006704827,10,1.0,disabled
2023-07-18 13:30:00,155064.85654299587,10,1.0,disabled
2023-07-19 13:30:00,150517.74089409367,10,1.0,disabled
2023-07-20 13:30:00,149574.9582644403,9,1.0,disabled
2023-07-21 13:30:00,149311.00986558083,8,1.0,disabled
2023-07-24 13:30:00,149555.98580426804,10,1.0,disabled
2023-07-25 13:30:00,148963.61620788462,10,1.0,disabled
2023-07-26 13:30:00,147759.78075102222,10,1.0,disabled
2023-07-27 13:30:00,152764.37989212337,10,1.0,disabled
2023-07-28 13:30:00,155499.0190931094,10,1.0,disabled
2023-07-31 13:30:00,154827.77145504774,10,1.0,disabled
2023-08-01 13:30:00,151249.067859747,10,1.0,disabled
2023-08-02 13:30:00,150775.0326186683,10,1.0,disabled
2023-08-03 13:30:00,149466.85681321553,10,1.0,disabled
2023-08-04 13:30:00,149336.87332367833,10,1.0,disabled
2023-08-07 13:30:00,149760.24770561603,9,1.0,disabled
2023-08-08 13:30:00,149457.13971138,9,1.0,disabled
2023-08-09 13:30:00,148023.3437676477,10,1.0,disabled
2023-08-10 13:30:00,145665.03331805932,10,1.0,disabled
2023-08-11 13:30:00,146909.79800571312,10,1.0,disabled
2023-08-14 13:30:00,143316.17718198022,9,1.0,disabled
2023-08-15 13:30:00,141953.66120367384,8,1.0,disabled
2023-08-16 13:30:00,137963.89057400785,8,1.0,disabled
2023-08-17 13:30:00,136253.75136337648,10,1.0,disabled
2023-08-18 13:30:00,138844.04453841984,10,1.0,disabled
2023-08-21 13:30:00,136541.4555084322,10,1.0,disabled
2023-08-22 13:30:00,139836.94287166954,10,1.0,disabled
2023-08-23 13:30:00,135864.15672000797,9,1.0,disabled
2023-08-24 13:30:00,137043.27494440306,9,1.0,disabled
2023-08-25 13:30:00,137853.53109940625,10,1.0,disabled
2023-08-28 13:30:00,144887.03142241083,10,1.0,disabled
2023-08-29 13:30:00,145743.57745692995,10,1.0,disabled
2023-08-30 13:30:00,142751.5714547643,10,1.0,disabled
2023-08-31 13:30:00,144273.38740704197,10,1.0,disabled
2023-09-01 13:30:00,142684.00051991333,10,1.0,disabled
2023-09-05 13:30:00,142727.78305709112,10,1.0,disabled
2023-09-06 13:30:00,142264.6125831428,10,1.0,disabled
2023-09-07 13:30:00,141688.11554400704,10,1.0,disabled
2023-09-08 13:30:00,143287.64970183,10,1.0,disabled
2023-09-11 13:30:00,143101.72506538042,9,1.0,disabled
2023-09-12 13:30:00,142459.20152666862,9,1.0,disabled
2023-09-13 13:30:00,143651.89944631045,10,1.0,disabled
2023-09-14 13:30:00,142342.78540624678,10,1.0,disabled
2023-09-15 13:30:00,140856.6789891178,10,1.0,disabled
2023-09-18 13:30:00,138330.93282007863,9,1.0,disabled
2023-09-19 13:30:00,136467.3726631554,8,1.0,disabled
2023-09-20 13:30:00,133966.81715798672,7,1.0,disabled
2023-09-21 13:30:00,132263.56387965748,10,1.0,disabled
2023-09-22 13:30:00,133355.71884833046,10,1.0,disabled
2023-09-25 13:30:00,133106.19372140462,10,1.0,disabled
2023-09-26 13:30:00,135049.38365280343,9,1.0,disabled
2023-09-27 13:30:00,137123.6026135289,9,1.0,disabled
2023-09-28 13:30:00,140192.42737680112,9,1.0,disabled
2023-09-29 13:30:00,138549.51893734105,10,1.0,disabled
2023-10-02 13:30:00,134795.8353467019,10,1.0,disabled
2023-10-03 13:30:00,136796.31939643895,10,1.0,disabled
2023-10-04 13:30:00,136537.7442799286,10,1.0,disabled
2023-10-05 13:30:00,139598.33010501304,10,1.0,disabled
2023-10-06 13:30:00,139484.21410108882,10,1.0,disabled
2023-10-09 13:30:00,143919.70670903983,10,1.0,disabled
2023-10-10 13:30:00,144029.8624825256,10,1.0,disabled
2023-10-11 13:30:00,140871.04368144518,10,1.0,disabled
2023-10-12 13:30:00,139461.06181361913,10,1.0,disabled
2023-10-13 13:30:00,144212.4329376537,10,1.0,disabled
2023-10-16 13:30:00,144574.14520844212,10,1.0,disabled
2023-10-17 13:30:00,138100.98623116524,10,1.0,disabled
2023-10-18 13:30:00,134788.08680770017,9,1.0,disabled
2023-10-19 13:30:00,133190.79393957372,6,1.0,disabled
2023-10-20 13:30:00,134020.363901409,6,1.0,disabled
2023-10-23 13:30:00,135999.455328153,6,1.0,disabled
2023-10-24 13:30:00,133286.34240515315,6,1.0,disabled
2023-10-25 13:30:00,130242.89038834217,10,1.0,disabled
2023-10-26 13:30:00,130443.90714472803,8,1.0,disabled
2023-10-27 13:30:00,130626.0621952303,7,1.0,disabled
2023-10-30 13:30:00,130826.95591979248,7,1.0,disabled
2023-10-31 13:30:00,132856.76791852515,7,1.0,disabled
2023-11-01 13:30:00,140645.9006277057,7,1.0,disabled
2023-11-02 13:30:00,143585.0687291491,10,1.0,disabled
2023-11-03 13:30:00,138580.0416221705,10,1.0,disabled
2023-11-06 14:30:00,138921.85680959912,10,1.0,disabled
2023-11-07 14:30:00,136071.62890635547,10,1.0,disabled
2023-11-08 14:30:00,132955.84189068017,10,1.0,disabled
2023-11-09 14:30:00,133881.33343136698,8,1.0,disabled
2023-11-10 14:30:00,135390.4124820222,10,1.0,disabled
2023-11-13 14:30:00,140575.573086167,10,1.0,disabled
2023-11-14 14:30:00,142799.7366250831,10,1.0,disabled
2023-11-15 14:30:00,140746.15596272118,10,1.0,disabled
2023-11-16 14:30:00,140763.61340775908,10,1.0,disabled
2023-11-17 14:30:00,142297.58172463937,10,1.0,disabled
2023-11-20 14:30:00,142072.55924745134,10,1.0,disabled
2023-11-21 14:30:00,142870.68588742288,9,1.0,disabled
2023-11-22 14:30:00,143339.4522502919,9,1.0,disabled
2023-11-24 14:30:00,142424.37853000034,9,1.0,disabled
2023-11-27 14:30:00,142516.73130616042,9,1.0,disabled
2023-11-28 14:30:00,140693.8677708952,9,1.0,disabled
2023-11-29 14:30:00,139896.2921753329,10,1.0,disabled
2023-11-30 14:30:00,140629.17634845155,10,1.0,disabled
2023-12-01 14:30:00,138871.54889364785,10,1.0,disabled
2023-12-04 14:30:00,138346.2351900604,9,1.0,disabled
2023-12-05 14:30:00,138302.10329852352,9,1.0,disabled
2023-12-06 14:30:00,139571.5583833628,8,1.0,disabled
2023-12-07 14:30:00,141131.67427701916,10,1.0,disabled
2023-12-08 14:30:00,141370.60279772876,10,1.0,disabled
2023-12-11 14:30:00,141734.13483346003,9,1.0,disabled
2023-12-12 14:30:00,143750.8439187391,9,1.0,disabled
2023-12-13 14:30:00,146093.65714127605,9,1.0,disabled
2023-12-14 14:30:00,146499.63488638558,8,1.0,disabled
2023-12-15 14:30:00,147472.79890283928,10,1.0,disabled
2023-12-18 14:30:00,149356.08237923722,10,1.0,disabled
2023-12-19 14:30:00,145662.59174853328,10,1.0,disabled
2023-12-20 14:30:00,147266.520730465,10,1.0,disabled
2023-12-21 14:30:00,147830.551905454,10,1.0,disabled
2023-12-22 14:30:00,147880.50667309883,10,1.0,disabled
2023-12-26 14:30:00,148154.84953691336,10,1.0,disabled
2023-12-27 14:30:00,148343.20222094285,10,1.0,disabled
2023-12-28 14:30:00,146578.07397331763,10,1.0,disabled
2023-12-29 14:30:00,143980.17855400866,10,1.0,disabled
2024-01-02 14:30:00,142831.05214414612,10,1.0,disabled
2024-01-03 14:30:00,144082.62859703443,9,1.0,disabled
2024-01-04 14:30:00,143527.35848374327,10,1.0,disabled
2024-01-05 14:30:00,147243.47199904826,10,1.0,disabled
2024-01-08 14:30:00,145734.77150879303,10,1.0,disabled
2024-01-09 14:30:00,145782.58631961522,9,1.0,disabled
2024-01-10 14:30:00,142447.55513792657,9,1.0,disabled
2024-01-11 14:30:00,139296.56498921206,9,1.0,disabled
2024-01-12 14:30:00,136074.37606909763,10,1.0,disabled
2024-01-16 14:30:00,134002.17479992175,10,1.0,disabled
2024-01-17 14:30:00,132497.29321071494,9,1.0,disabled
2024-01-18 14:30:00,133618.5811572609,8,1.0,disabled
2024-01-19 14:30:00,135457.26302063186,8,1.0,disabled
2024-01-22 14:30:00,136315.89464789038,8,1.0,disabled
2024-01-23 14:30:00,135845.43910782528,10,1.0,disabled
2024-01-24 14:30:00,135415.6956992858,10,1.0,disabled
2024-01-25 14:30:00,136220.8832989647,9,1.0,disabled
2024-01-26 14:30:00,137802.94697670086,9,1.0,disabled
2024-01-29 14:30:00,137201.45767341132,9,1.0,disabled
2024-01-30 14:30:00,136307.23355521605,8,1.0,disabled
2024-01-31 14:30:00,136801.34659533488,10,1.0,disabled
2024-02-01 14:30:00,138391.75804217064,10,1.0,disabled
2024-02-02 14:30:00,136476.51781858172,10,1.0,disabled
2024-02-05 14:30:00,140005.5336769733,10,1.0,disabled
2024-02-06 14:30:00,137962.62688518583,10,1.0,disabled
2024-02-07 14:30:00,138078.6049877546,9,1.0,disabled
2024-02-08 14:30:00,138645.44122597785,10,1.0,disabled
2024-02-09 14:30:00,140241.74035905837,10,1.0,disabled
2024-02-12 14:30:00,135916.7824648894,10,1.0,disabled
2024-02-13 14:30:00,137672.6728948796,10,1.0,disabled
2024-02-14 14:30:00,140164.77526915693,10,1.0,disabled
2024-02-15 14:30:00,139674.65728517185,10,1.0,disabled
2024-02-16 14:30:00,138057.52153944195,10,1.0,disabled
2024-02-20 14:30:00,137156.2180678361,10,1.0,disabled
2024-02-21 14:30:00,139912.02020074436,10,1.0,disabled
2024-02-22 14:30:00,139296.08875160853,10,1.0,disabled
2024-02-23 14:30:00,138857.47626025396,10,1.0,disabled
2024-02-26 14:30:00,139417.41980370713,10,1.0,disabled
2024-02-27 14:30:00,137949.04224855054,10,1.0,disabled
2024-02-28 14:30:00,138345.76146950704,10,1.0,disabled
2024-02-29 14:30:00,140218.88313006694,10,1.0,disabled
2024-03-01 14:30:00,140060.68659226518,10,1.0,disabled
2024-03-04 14:30:00,138938.9039498983,9,1.0,disabled
2024-03-05 14:30:00,139770.91738312406,9,1.0,disabled
2024-03-06 14:30:00,142008.80254178034,10,1.0,disabled
2024-03-07 14:30:00,141310.95089113593,10,1.0,disabled
2024-03-08 14:30:00,141022.87050384708,10,1.0,disabled
2024-03-11 13:30:00,142283.86973772224,10,1.0,disabled
2024-03-12 13:30:00,141657.02201334393,10,1.0,disabled
2024-03-13 13:30:00,140426.48354153617,10,1.0,disabled
2024-03-14 13:30:00,140055.72761672887,10,1.0,disabled
2024-03-15 13:30:00,141461.15871869796,10,1.0,disabled
2024-03-18 13:30:00,140390.77549224647,10,1.0,disabled
2024-03-19 13:30:00,143894.88978693943,10,1.0,disabled
2024-03-20 13:30:00,144693.90100957768,10,1.0,disabled
2024-03-21 13:30:00,142884.80189309397,10,1.0,disabled
2024-03-22 13:30:00,142221.55089915628,10,1.0,disabled
2024-03-25 13:30:00,143215.17293618846,10,1.0,disabled
2024-03-26 13:30:00,146083.06365439633,10,1.0,disabled
2024-03-27 13:30:00,144586.924962099,10,1.0,disabled
2024-03-28 13:30:00,144033.16906393782,9,1.0,disabled
2024-04-01 13:30:00,140078.06866615757,9,1.0,disabled
2024-04-02 13:30:00,140315.56902091726,10,1.0,disabled
2024-04-03 13:30:00,138068.83778995165,10,1.0,disabled
2024-04-04 13:30:00,138432.0076198821,10,1.0,disabled
2024-04-05 13:30:00,140631.33645771848,10,1.0,disabled
2024-04-08 13:30:00,141415.51938313863,9,1.0,disabled
2024-04-09 13:30:00,140210.50408484944,9,1.0,disabled
2024-04-10 13:30:00,142228.19991398774,10,1.0,disabled
2024-04-11 13:30:00,136510.42682398434,10,1.0,disabled
2024-04-12 13:30:00,132739.54949966786,8,1.0,disabled
2024-04-15 13:30:00,132052.1328506279,8,1.0,disabled
2024-04-16 13:30:00,130640.98946320871,8,1.0,disabled
2024-04-17 13:30:00,131583.9676639511,8,1.0,disabled
2024-04-18 13:30:00,127271.61702706417,10,1.0,disabled
2024-04-19 13:30:00,128475.00450868494,9,1.0,disabled
2024-04-22 13:30:00,131493.42610482895,8,1.0,disabled
2024-04-23 13:30:00,128795.68113274615,8,1.0,disabled
2024-04-24 13:30:00,128702.03343036529,8,1.0,disabled
2024-04-25 13:30:00,131994.42722255952,8,1.0,disabled
2024-04-26 13:30:00,133040.01958601817,10,1.0,disabled
2024-04-29 13:30:00,129566.97071523663,10,1.0,disabled
2024-04-30 13:30:00,131771.01626591795,9,1.0,disabled
2024-05-01 13:30:00,134738.27865505533,9,1.0,disabled
2024-05-02 13:30:00,138483.8279631787,9,1.0,disabled
2024-05-03 13:30:00,141417.33578964675,9,1.0,disabled
2024-05-06 13:30:00,140180.98099581487,10,1.0,disabled
2024-05-07 13:30:00,139591.60229544056,10,1.0,disabled
2024-05-08 13:30:00,141112.9928026596,10,1.0,disabled
2024-05-09 13:30:00,139593.79915152866,10,1.0,disabled
2024-05-10 13:30:00,140831.86195734618,9,1.0,disabled
2024-05-13 13:30:00,142853.9086341233,9,1.0,disabled
2024-05-14 13:30:00,145157.14047459362,10,1.0,disabled
2024-05-15 13:30:00,145150.10250692914,10,1.0,disabled
2024-05-16 13:30:00,146290.4306645879,10,1.0,disabled
2024-05-17 13:30:00,145911.6000198732,10,1.0,disabled
2024-05-20 13:30:00,145408.4642831939,10,1.0,disabled
2024-05-21 13:30:00,145347.20033829557,10,1.0,disabled
2024-05-22 13:30:00,141956.51650778865,10,1.0,disabled
2024-05-23 13:30:00,143739.69568831488,10,1.0,disabled
2024-05-24 13:30:00,143357.14941103294,10,1.0,disabled
2024-05-28 13:30:00,141917.24458128694,10,1.0,disabled
2024-05-29 13:30:00,143229.65664385518,10,1.0,disabled
2024-05-30 13:30:00,142772.94094520397,10,1.0,disabled
2024-05-31 13:30:00,143223.099981625,10,1.0,disabled
2024-06-03 13:30:00,142510.39359365436,10,1.0,disabled
2024-06-04 13:30:00,145017.6513202638,10,1.0,disabled
2024-06-05 13:30:00,146665.49983054807,10,1.0,disabled
2024-06-06 13:30:00,144673.70754725006,10,1.0,disabled
2024-06-07 13:30:00,145675.35725697686,9,1.0,disabled
2024-06-10 13:30:00,144503.54630534767,10,1.0,disabled
2024-06-11 13:30:00,145044.80741385027,10,1.0,disabled
2024-06-12 13:30:00,143360.1724584664,10,1.0,disabled
2024-06-13 13:30:00,141737.12972053795,10,1.0,disabled
2024-06-14 13:30:00,141522.6942935352,10,1.0,disabled
2024-06-17 13:30:00,142174.48691648012,9,1.0,disabled
2024-06-18 13:30:00,142061.4864628696,10,1.0,disabled
2024-06-20 13:30:00,142058.28696671233,10,1.0,disabled
2024-06-21 13:30:00,143061.40949723477,10,1.0,disabled
2024-06-24 13:30:00,142324.35142703596,10,1.0,disabled
2024-06-25 13:30:00,145335.32171433256,10,1.0,disabled
2024-06-26 13:30:00,146697.27626522962,10,1.0,disabled
2024-06-27 13:30:00,146592.99350515334,10,1.0,disabled
2024-06-28 13:30:00,145728.10441697136,10,1.0,disabled
2024-07-01 13:30:00,145404.7250516181,9,1.0,disabled
2024-07-02 13:30:00,146484.74380250194,9,1.0,disabled
2024-07-03 13:30:00,145568.7260205784,9,1.0,disabled
2024-07-05 13:30:00,145084.56122461814,9,1.0,disabled
2024-07-08 13:30:00,144599.79209253547,10,1.0,disabled
2024-07-09 13:30:00,146161.79108128266,10,1.0,disabled
2024-07-10 13:30:00,145542.94102995508,10,1.0,disabled
2024-07-11 13:30:00,147716.58034100127,10,1.0,disabled
2024-07-12 13:30:00,148159.38237410435,10,1.0,disabled
2024-07-15 13:30:00,150357.95972744268,10,1.0,disabled
2024-07-16 13:30:00,144193.9572880812,10,1.0,disabled
2024-07-17 13:30:00,144151.91423743428,8,1.0,disabled
2024-07-18 13:30:00,144100.45066619624,8,1.0,disabled
2024-07-19 13:30:00,146127.96249900627,7,1.0,disabled
2024-07-22 13:30:00,146199.5735456094,6,1.0,disabled
2024-07-23 13:30:00,143469.5674580383,6,1.0,disabled
2024-07-24 13:30:00,142022.54767819648,10,1.0,disabled
2024-07-25 13:30:00,143643.16467567105,10,1.0,disabled
2024-07-26 13:30:00,143399.54497917448,10,1.0,disabled
2024-07-29 13:30:00,140192.0436981772,10,1.0,disabled
2024-07-30 13:30:00,144281.36442796912,9,1.0,disabled
2024-07-31 13:30:00,137401.21616736325,9,1.0,disabled
2024-08-01 13:30:00,128721.26480305301,10,1.0,disabled
2024-08-02 13:30:00,124978.09063933029,8,1.0,disabled
2024-08-05 13:30:00,126641.86414246132,8,1.0,disabled
2024-08-06 13:30:00,126470.5116370393,8,1.0,disabled
2024-08-07 13:30:00,131487.04426554198,7,1.0,disabled
2024-08-08 13:30:00,131992.19053039383,7,1.0,disabled
2024-08-09 13:30:00,131377.87106876433,10,1.0,disabled
2024-08-12 13:30:00,134317.6467849807,9,1.0,disabled
2024-08-13 13:30:00,132506.45562732944,9,1.0,disabled
2024-08-14 13:30:00,136998.532182551,9,1.0,disabled
2024-08-15 13:30:00,138347.12057891412,9,1.0,disabled
2024-08-16 13:30:00,141663.92904713962,9,1.0,disabled
2024-08-19 13:30:00,139649.87151526436,10,1.0,disabled
2024-08-20 13:30:00,140851.5300755349,10,1.0,disabled
2024-08-21 13:30:00,138206.1331838893,10,1.0,disabled
2024-08-22 13:30:00,141113.83166030524,10,1.0,disabled
2024-08-23 13:30:00,139101.38118852585,10,1.0,disabled
2024-08-26 13:30:00,139602.6310759538,10,1.0,disabled
2024-08-27 13:30:00,136322.4766822832,10,1.0,disabled
2024-08-28 13:30:00,137265.15082579709,10,1.0,disabled
2024-08-29 13:30:00,139808.9980960592,9,1.0,disabled
2024-08-30 13:30:00,135230.20576501024,9,1.0,disabled
2024-09-03 13:30:00,134632.9622226478,8,1.0,disabled
2024-09-04 13:30:00,135761.6697376044,7,1.0,disabled
2024-09-05 13:30:00,133159.01359481493,10,1.0,disabled
2024-09-06 13:30:00,134611.80442214868,9,1.0,disabled
2024-09-09 13:30:00,135680.09060604734,8,1.0,disabled
2024-09-10 13:30:00,138380.3262555923,8,1.0,disabled
2024-09-11 13:30:00,139123.09985359272,8,1.0,disabled
2024-09-12 13:30:00,139539.1599254794,8,1.0,disabled
2024-09-13 13:30:00,139978.8092644046,10,1.0,disabled
2024-09-16 13:30:00,139342.5970033004,10,1.0,disabled
2024-09-17 13:30:00,140182.89692432425,10,1.0,disabled
2024-09-18 13:30:00,143231.1673358654,10,1.0,disabled
2024-09-19 13:30:00,143541.83171454407,10,1.0,disabled
2024-09-20 13:30:00,144277.49560259384,10,1.0,disabled
2024-09-23 13:30:00,142732.3667044417,10,1.0,disabled
2024-09-24 13:30:00,141883.10865460127,9,1.0,disabled
2024-09-25 13:30:00,143443.90413775374,9,1.0,disabled
2024-09-26 13:30:00,142685.87464973025,9,1.0,disabled
2024-09-27 13:30:00,142545.92746943585,9,1.0,disabled
2024-09-30 13:30:00,141027.05092629546,9,1.0,disabled
2024-10-01 13:30:00,142421.94709344997,10,1.0,disabled
2024-10-02 13:30:00,143726.92664504048,10,1.0,disabled
2024-10-03 13:30:00,146819.92819076419,10,1.0,disabled
2024-10-04 13:30:00,145267.36441385624,10,1.0,disabled
2024-10-07 13:30:00,148640.60173582335,10,1.0,disabled
2024-10-08 13:30:00,151333.72129108894,10,1.0,disabled
2024-10-09 13:30:00,150755.72116706916,10,1.0,disabled
2024-10-10 13:30:00,152745.8252339959,10,1.0,disabled
2024-10-11 13:30:00,152961.20403548572,10,1.0,disabled
2024-10-14 13:30:00,153518.88468712594,10,1.0,disabled
